PostID ,Reaction Name,Count Value,Date
611765415846195_611894055833331,post_reactions_love_total,0,7/3/2018
611765415846195_611894055833331,post_reactions_like_total,0,7/3/2018
611765415846195_611894055833331,post_reactions_wow_total,0,7/3/2018
611765415846195_611894055833331,post_reactions_haha_total,0,7/3/2018
611765415846195_611894055833331,post_reactions_sorry_total,0,7/3/2018
611765415846195_611894055833331,post_reactions_anger_total,0,7/3/2018
611765415846195_611894055833331,post_reactions_by_type_total,,7/3/2018
611765415846195_611894055833331,post_impressions,4,7/3/2018
611765415846195_611893932500010,post_reactions_love_total,0,7/3/2018
611765415846195_611893932500010,post_reactions_like_total,13,7/3/2018
611765415846195_611893932500010,post_reactions_wow_total,0,7/3/2018
611765415846195_611893932500010,post_reactions_haha_total,0,7/3/2018
611765415846195_611893932500010,post_reactions_sorry_total,0,7/3/2018
611765415846195_611893932500010,post_reactions_anger_total,0,7/3/2018
611765415846195_611893932500010,post_reactions_by_type_total,,7/3/2018
611765415846195_611893932500010,post_impressions,30,7/3/2018
611765415846195_611766012512802,post_reactions_love_total,0,7/3/2018
611765415846195_611766012512802,post_reactions_like_total,0,7/3/2018
611765415846195_611766012512802,post_reactions_wow_total,0,7/3/2018
611765415846195_611766012512802,post_reactions_haha_total,0,7/3/2018
611765415846195_611766012512802,post_reactions_sorry_total,0,7/3/2018
611765415846195_611766012512802,post_reactions_anger_total,0,7/3/2018
611765415846195_611766012512802,post_reactions_by_type_total,,7/3/2018
611765415846195_611766012512802,post_impressions,7,7/3/2018
611765415846195_611765772512826,post_reactions_love_total,0,7/3/2018
611765415846195_611765772512826,post_reactions_like_total,0,7/3/2018
611765415846195_611765772512826,post_reactions_wow_total,0,7/3/2018
611765415846195_611765772512826,post_reactions_haha_total,0,7/3/2018
611765415846195_611765772512826,post_reactions_sorry_total,0,7/3/2018
611765415846195_611765772512826,post_reactions_anger_total,0,7/3/2018
611765415846195_611765772512826,post_reactions_by_type_total,,7/3/2018
611765415846195_611765772512826,post_impressions,0,7/3/2018
